Data_Arquivo,Horario_Entrada,Liga,Jogo,Metodo,Odd_Base,Odd_Real_Pega,1/0
2026-04-10,15:45:00,IRELAND 2,Finn Harps x Cobh Ramblers,Lay_CS_0x1_B365,16.5,16.5,1.0
2026-04-10,15:45:00,IRELAND 2,Finn Harps x Cobh Ramblers,Lay_CS_1x0_B365,13.0,13.0,1.0
2026-04-10,13:00:00,ROMANIA 1,Hermannstadt x Farul Constanta,Lay_CS_0x1_B365,12.0,12.0,1.0
2026-04-10,13:00:00,ROMANIA 1,Hermannstadt x Farul Constanta,Lay_CS_1x0_B365,8.8,8.8,0.0
2026-04-10,15:30:00,POLAND 1,Korona Kielce x Jagiellonia Bialystock,Lay_CS_0x1_B365,14.0,14.0,1.0
2026-04-10,12:30:00,SLOVENIA 1,NK Primorje x Koper,Lay_CS_0x1_B365,13.5,13.5,1.0
2026-04-10,14:00:00,FRANCE 1,Paris FC x Monaco,Lay_CS_0x1_B365,12.5,12.5,1.0
2026-04-10,13:00:00,AUSTRIA 2,Rapid Vienna (Am) x WSC Hertha Wels,Lay_CS_0x1_B365,12.0,12.0,1.0
2026-04-10,13:00:00,AUSTRIA 2,Rapid Vienna (Am) x WSC Hertha Wels,Lay_CS_1x0_B365,12.5,12.5,1.0
2026-04-10,14:30:00,FRANCE 3,Sochaux x Fleury Merogis,Lay_CS_0x1_B365,19.5,19.5,1.0
2026-04-10,14:30:00,FRANCE 3,Sochaux x Fleury Merogis,Lay_CS_1x0_B365,9.8,9.8,1.0
2026-04-10,14:30:00,FRANCE 3,Stade Briochin x Villefranche Beaujolais,Lay_CS_0x1_B365,12.5,12.5,1.0
2026-04-10,14:30:00,FRANCE 3,Stade Briochin x Villefranche Beaujolais,Lay_CS_1x0_B365,11.0,11.0,1.0
2026-04-10,14:30:00,FRANCE 3,Valenciennes x Versailles 78 FC,Lay_CS_0x1_B365,13.5,13.5,1.0
2026-04-10,14:30:00,FRANCE 3,Valenciennes x Versailles 78 FC,Lay_CS_1x0_B365,10.5,10.5,0.0
2026-04-10,13:00:00,POLAND 1,Wisla Plock x Lechia Gdansk,Lay_CS_0x1_B365,12.5,12.5,1.0
2026-04-10,13:00:00,POLAND 1,Wisla Plock x Lechia Gdansk,Lay_CS_1x0_B365,13.0,13.0,0.0
2026-04-11,13:00:00,SAUDI ARABIA 1,Al Najma Club x NEOM Sports Club,Lay_CS_0x1_B365,11.5,11.5,1.0
2026-04-11,13:00:00,SAUDI ARABIA 1,Al Najma Club x NEOM Sports Club,Lay_CS_1x0_B365,26.0,26.0,1.0
2026-04-11,14:00:00,FRANCE 1,Auxerre x Nantes,Lay_CS_0x1_B365,13.5,13.5,1.0
2026-04-11,14:00:00,FRANCE 1,Auxerre x Nantes,Lay_CS_1x0_B365,7.4,7.4,1.0
2026-04-11,19:30:00,ARGENTINA 1,Boca Juniors x CA Independiente,Lay_CS_0x1_B365,9.8,9.8,1.0
2026-04-11,19:30:00,ARGENTINA 1,Boca Juniors x CA Independiente,Lay_CS_1x0_B365,7.8,7.8,1.0
2026-04-11,14:00:00,PORTUGAL 2,Chaves x Torreense,Lay_CS_0x1_B365,14.0,14.0,1.0
2026-04-11,14:00:00,PORTUGAL 2,Chaves x Torreense,Lay_CS_1x0_B365,11.5,11.5,1.0
2026-04-11,16:30:00,PORTUGAL 1,Club Football Estrela x Sporting Lisbon,Lay_CS_0x1_B365,12.0,12.0,0.0
2026-04-11,11:15:00,SPAIN 1,Elche x Valencia,Lay_CS_0x1_B365,11.5,11.5,1.0
2026-04-11,11:15:00,SPAIN 1,Elche x Valencia,Lay_CS_1x0_B365,10.0,10.0,0.0
2026-04-11,17:15:00,ARGENTINA 1,Estudiantes x Union Santa Fe,Lay_CS_0x1_B365,10.5,10.5,1.0
2026-04-11,17:15:00,ARGENTINA 1,Estudiantes x Union Santa Fe,Lay_CS_1x0_B365,7.4,7.4,1.0
2026-04-11,10:30:00,GERMANY 1,FC Heidenheim x Union Berlin,Lay_CS_0x1_B365,11.5,11.5,1.0
2026-04-11,10:00:00,CZECH 1,FK Jablonec x Banik Ostrava,Lay_CS_0x1_B365,29.0,29.0,1.0
2026-04-11,10:00:00,CZECH 1,FK Jablonec x Banik Ostrava,Lay_CS_1x0_B365,15.5,15.5,1.0
2026-04-11,09:00:00,NORWAY 2,Haugesund x Stromsgodset,Lay_CS_0x1_B365,26.0,26.0,1.0
2026-04-11,09:00:00,NORWAY 2,Haugesund x Stromsgodset,Lay_CS_1x0_B365,28.0,28.0,1.0
2026-04-11,16:00:00,NETHERLANDS 1,Heracles x Ajax,Lay_CS_0x1_B365,13.0,13.0,1.0
