linha,janela,estado,fav,N,WR,BE,gap_pp,ROI,odd_med,IC_lo,IC_hi,p,blocos,BH_passa,decisao
0.5,25-40,0-0,1.40-1.80,83,84.33734939759037,84.77277026482233,-0.4354208672319615,-0.5656626506024122,1.19,-12.704365712713269,10.178298611111106,1.0,18,False,INCONCLUSIVO
2.5,75-85,1 gol,>1.80,225,18.666666666666668,19.134109029785456,-0.46744236311878906,-2.2468888888888907,6.0,-34.58509835680752,27.99319112021856,1.0,19,False,INCONCLUSIVO
2.5,75-85,1 gol,1.40-1.80,53,18.867924528301888,20.7557182554054,-1.8877937271035123,-17.41037735849057,5.1,-58.92594570252187,30.10688920454544,1.0,16,False,INCONCLUSIVO
2.5,60-75,diff>=2,>1.80,90,63.33333333333333,72.53672166132166,-9.203388327988337,-11.913888888888891,1.3849999999999998,-22.172105229591835,1.548955707931796,1.0,17,False,INCONCLUSIVO
2.5,60-75,1 gol,>1.80,266,31.954887218045116,34.87735418257279,-2.92246696452767,-10.262969924812033,3.05,-28.64511820652174,3.8346414951360313,1.0,19,False,INCONCLUSIVO
2.5,60-75,0-0,>1.80,219,9.1324200913242,11.011183260409558,-1.8787631690853568,-9.458219178082196,11.5,-41.90147898706897,21.865872507122468,1.0,19,False,INCONCLUSIVO
2.5,60-75,1 gol,1.40-1.80,71,35.2112676056338,39.44434894342814,-4.233081337794337,-10.223943661971832,2.6,-27.09787271973466,12.013644067796594,1.0,15,False,INCONCLUSIVO
2.5,46-60,diff>=2,>1.80,52,75.0,80.34562855876524,-5.345628558765236,-6.164423076923075,1.25,-19.231686076604557,7.17729963860543,1.0,14,False,INCONCLUSIVO
2.5,60-75,0-0,1.40-1.80,47,12.76595744680851,15.578861082830759,-2.8129036360222486,-35.590425531914896,8.0,-74.42857142857142,13.064192886456905,1.0,16,False,INCONCLUSIVO
2.5,46-60,1 gol,<=1.40,34,41.17647058823529,57.17921106241857,-16.002740474183273,-30.99411764705882,1.81,-59.087620192307696,-0.16856950431035153,1.0,16,False,REPROVA
2.5,46-60,0-0,>1.80,289,15.570934256055363,17.158762006422197,-1.5878277503668352,-4.0833910034602106,6.4,-31.922425783914232,24.529523658304214,1.0,19,False,INCONCLUSIVO
