runner,lado,fav,gols,lado_fav,corte,N,perdas,WR,BE,edge_pp,odd_med,ROI,IC_lo,IC_hi,p,dias,N_janabr,ROI_janabr,N_maijul,ROI_maijul,N_agoset,ROI_agoset,BH_passa,decisao
Over15_HT,back,fav1.40-1.80,Todos,Todos,Todos,629,366,41.81240063593005,39.88982360139808,1.9225770345319693,2.62,6.329332273449917,-4.278990315827886,15.382298217051037,0.107,36,0,,0,,629,6.329332273449917,False,INCONCLUSIVO
CS_1x2,lay,fav>1.80,U25>2.20,fav casa,Todos,312,15,95.1923076923077,93.80659196518698,1.3857157271207066,15.5,1.4953341450433073,-0.9102606661573911,3.467119201853445,0.1075,35,0,,0,,312,1.4953341450433073,False,INCONCLUSIVO
Under35_FT,back,fav>1.80,Todos,Todos,TOP 3,101,21,79.20792079207921,74.92105352288283,4.286867269196382,1.32,5.930198019801983,-3.4513592233009684,14.85390115831971,0.1085,35,0,,0,,101,5.930198019801983,False,INCONCLUSIVO
Over45_FT,back,fav>1.80,U25>2.20,fav casa,Todos,313,232,25.87859424920128,22.930999057770936,2.9475951914303438,5.0,15.12396166134185,-8.146425773842521,37.40896642514828,0.1095,35,0,,0,,313,15.12396166134185,False,INCONCLUSIVO
CS_3x1,lay,fav<=1.40,U25>2.20,Todos,Todos,135,6,95.55555555555556,93.27894347330975,2.2766120822458102,14.0,2.4266637137563287,-1.5866383119167007,5.792677232962125,0.11,29,0,,0,,135,2.4266637137563287,False,INCONCLUSIVO
BTTS_No,back,Todos,U25>2.20,Todos,TOP 3,100,40,60.0,53.52950911063567,6.4704908893643225,1.915,10.843999999999996,-6.182250598771221,27.54477040816325,0.11,35,0,,0,,100,10.843999999999996,False,INCONCLUSIVO
CS_3x1,lay,fav<=1.40,U25>2.20,fav casa,Todos,135,6,95.55555555555556,93.27894347330975,2.2766120822458102,14.0,2.4266637137563287,-1.5866383119167007,5.792677232962125,0.11,29,0,,0,,135,2.4266637137563287,False,INCONCLUSIVO
CS_1x1,lay,Todos,Todos,fav casa,Todos,1777,170,90.43331457512662,89.66759486958438,0.7657197055422449,9.0,0.8548772754981766,-0.5759626370246129,2.3986940068829106,0.1115,36,0,,0,,1777,0.8548772754981766,False,INCONCLUSIVO
CS_1x0,lay,fav1.40-1.80,U25>2.20,fav casa,Todos,244,14,94.26229508196722,92.24424055688074,2.0180545250864768,12.0,2.192460219783087,-1.3765893787005783,5.5112121605204445,0.112,33,0,,0,,244,2.192460219783087,False,INCONCLUSIVO
Over35_FT,back,fav1.40-1.80,U25 1.60-2.20,Todos,Todos,276,186,32.608695652173914,29.100214413394625,3.5084812387792876,3.5,10.105978260869563,-5.7249525652152995,25.91672939930687,0.1125,31,0,,0,,276,10.105978260869563,False,INCONCLUSIVO
