lado,Data,Liga,Jogo,Metodo,motivo,arquivo
live_sem_ref,2026-04-07,SAUDI ARABIA 1,Al Jubail x Al-Jndal,Lay_CS_0x1_B365,nao_veio_na_base,Apostas_20260407.xlsx
live_sem_ref,2026-04-07,SAUDI ARABIA 1,Al Jubail x Al-Jndal,Lay_CS_1x0_B365,nao_veio_na_base,Apostas_20260407.xlsx
live_sem_ref,2026-04-07,SWEDEN 2,Oddevold x Sandvikens,Lay_CS_0x1_B365,nao_veio_na_base,Apostas_20260407.xlsx
live_sem_ref,2026-04-07,SWEDEN 2,Oddevold x Sandvikens,Lay_CS_1x0_B365,nao_veio_na_base,Apostas_20260407.xlsx
live_sem_ref,2026-04-07,SWITZERLAND 2,FC Wil x Neuchatel Xamax,Lay_CS_0x1_B365,nao_veio_na_base,Apostas_20260407.xlsx
live_sem_ref,2026-04-07,SWITZERLAND 2,FC Wil x Neuchatel Xamax,Lay_CS_1x0_B365,nao_veio_na_base,Apostas_20260407.xlsx
live_sem_ref,2026-04-07,TURKEY 2,Bandirmaspor x Sariyer G.K.,Lay_CS_0x1_B365,nao_veio_na_base,Apostas_20260407.xlsx
live_sem_ref,2026-04-07,TURKEY 2,Bandirmaspor x Sariyer G.K.,Lay_CS_1x0_B365,nao_veio_na_base,Apostas_20260407.xlsx
ref_sem_live,2026-04-07,CROATIA 1,Vukovar 1991 vs Lok. Zagreb,Lay_CS_0x1_B365,faltou_no_dia,
live_sem_ref,2026-04-10,FRANCE 3,Sochaux x Fleury Merogis,Lay_CS_0x1_B365,nao_veio_na_base,Apostas_20260410.xlsx
live_sem_ref,2026-04-10,FRANCE 3,Stade Briochin x Villefranche Beaujolais,Lay_CS_0x1_B365,nao_veio_na_base,Apostas_20260410.xlsx
live_sem_ref,2026-04-10,FRANCE 3,Valenciennes x Versailles 78 FC,Lay_CS_0x1_B365,nao_veio_na_base,Apostas_20260410.xlsx
live_sem_ref,2026-04-10,SLOVENIA 1,NK Primorje x Koper,Lay_CS_0x1_B365,nao_veio_na_base,Apostas_20260410.xlsx
ref_sem_live,2026-04-10,FRANCE 3,Stade Briochin vs Villefranche,Lay_CS_0x1_B365,faltou_no_dia,
ref_sem_live,2026-04-10,SLOVENIA 1,Primorje vs Koper,Lay_CS_0x1_B365,faltou_no_dia,
live_sem_ref,2026-04-12,AUSTRIA 1,Austria Wien x Rapid Vienna,Lay_CS_0x1_B365,nao_veio_na_base,Apostas_20260412.xlsx
live_sem_ref,2026-04-12,DENMARK 1,Brondby x Midtjylland,Lay_CS_0x1_B365,nao_veio_na_base,Apostas_20260412.xlsx
live_sem_ref,2026-04-12,DENMARK 1,Randers x FC Copenhagen,Lay_CS_0x1_B365,nao_veio_na_base,Apostas_20260412.xlsx
live_sem_ref,2026-04-12,ENGLAND 1,Crystal Palace x Newcastle,Lay_CS_0x1_B365,nao_veio_na_base,Apostas_20260412.xlsx
live_sem_ref,2026-04-12,ENGLAND 1,Nottm Forest x Aston Villa,Lay_CS_0x1_B365,nao_veio_na_base,Apostas_20260412.xlsx
live_sem_ref,2026-04-12,ENGLAND 1,Sunderland x Tottenham,Lay_CS_0x1_B365,nao_veio_na_base,Apostas_20260412.xlsx
live_sem_ref,2026-04-12,GERMANY 3,Erzgebirge x Verl,Lay_CS_0x1_B365,nao_veio_na_base,Apostas_20260412.xlsx
live_sem_ref,2026-04-12,NETHERLANDS 2,FC Dordrecht x ADO Den Haag,Lay_CS_0x1_B365,nao_veio_na_base,Apostas_20260412.xlsx
live_sem_ref,2026-04-12,SLOVAKIA 1,KFC Komarno x FC Kosice,Lay_CS_0x1_B365,nao_veio_na_base,Apostas_20260412.xlsx
live_sem_ref,2026-04-12,SPAIN 2,Cadiz x Andorra CF,Lay_CS_0x1_B365,nao_veio_na_base,Apostas_20260412.xlsx
live_sem_ref,2026-04-12,SPAIN 2,Mirandes x CD Castellon,Lay_CS_0x1_B365,nao_veio_na_base,Apostas_20260412.xlsx
ref_sem_live,2026-04-12,ESTONIA 1,Tammeka vs Paide,Lay_CS_0x1_B365,faltou_no_dia,
live_sem_ref,2026-04-13,SPAIN 2,Valladolid x Eibar,Lay_CS_0x1_B365,nao_veio_na_base,Apostas_20260413.xlsx
live_sem_ref,2026-04-13,SPAIN 2,Valladolid x Eibar,Lay_CS_1x0_B365,nao_veio_na_base,Apostas_20260413.xlsx
ref_sem_live,2026-04-13,ROMANIA 1,Metaloglobus Bucharest vs Csikszereda M. Ciuc,Lay_CS_0x1_B365,faltou_no_dia,
